part_number,description,supplier_code,category_code,quantity,cost,price,margin,margin_percent,supplier_from_group
101999,BIMINI - TRAVEL LEG,BAR,ACC,0.0,2.0,3.49,1.49,42.69,BAR
102016,STANDOFF LOCATING,BAR,ACC,0.0,7.95,12.95,5.0,38.61,BAR
102016W,BIMINI - STANDOFF,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
102075,PROP - ENERTIA 14.75X16,BAR,ACC,0.0,445.5,824.99,379.49,45.99,BAR
102077,PROP - ENERTIA 15.3X 14,BAR,ACC,0.0,472.5,699.99,227.49,32.49,BAR
102077W,PROP - ENERTIA 15.3X 14,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
102078,PROP-ENERTIA 15X15 RH,BAR,ACC,0.0,411.3,659.0,247.7,37.58,BAR
102079,PROP - FLO TORQ SSR HD,BAR,ACC,0.0,90.9,169.99,79.09,46.52,BAR
102147,BRACKET - RIGHT,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
102246,DECAL - MODEL,BAR,ACC,0.0,4.7,7.99,3.29,41.17,BAR
102271,LIGHT X/E CLS PREM,BAR,AEL,0.0,41.6,69.0,27.4,39.71,BAR
102271W,LIGHT X/E CLS PREM,BAR,AEL,0.0,0.0,0.0,0.0,0.0,BAR
102310,FENDER - 415 QUICK,BAR,ACC,6.0,25.0,41.99,16.99,40.46,BAR
102310W,FENDER - 415 QUICK,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
102312W,Decal - C/A/E Cls (Barletta),BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
102314,BIMINI - 401 QUICK,BAR,ACC,0.0,22.0,36.99,14.99,40.52,BAR
102314W,BIMINI - 401 QUICK,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
102364,BIMINI - GREY DEUTSCH,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
102610,DECAL - COASTAL,BAR,ACC,0.0,10.0,17.0,7.0,41.17,BAR
102610W,Decal - Coastal Edition,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
102692,DECAL - DECAL - MODEL,BAR,ACC,0.0,4.95,8.99,4.04,44.93,BAR
102695,PAINT - SKIN COLOR,BAR,ACC,0.0,0.0,110.0,110.0,100.0,BAR
102699,PAINT - SKIN COLOR RED,BAR,ACC,0.0,0.0,26.69,26.69,100.0,BAR
102725,SHOCK - GAS PROP BLK,BAR,ACC,0.0,4.7,7.99,3.29,41.17,BAR
102725W,SHOCK - GAS PROP BLK,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
102750,CANVAS - CLIP POWER,BAR,ACC,0.0,995.0,1699.99,704.99,41.47,BAR
102764,STEERING - MERCURY,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
102874,FENDER HANGER - E,BAR,ACC,0.0,1.45,2.99,1.54,51.5,BAR
103100,HYDRO STEERING,BAR,ACC,0.0,2.5,4.25,1.75,41.17,BAR
103194W,CAP - SCHWINTEK,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
103229,"TUBE 26"" - 22' STBD",BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
103231,"TUBE 26"" - 22' PORT",BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
103298W,RAIL CATCH,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
103361,BRACKET - JAW SLIDE,BAR,ACC,0.0,10.0,16.99,6.99,41.14,BAR
103361W,BRACKET - JAW SLIDE,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
103380,BEZEL - SIMRAD VULCAN,BAR,ACC,0.0,21.2,35.99,14.79,41.09,BAR
103476,LATCH - CHAISE DOOR,BAR,ACC,0.0,14.9,24.99,10.09,40.37,BAR
103476W,LATCH - CHAISE DOOR,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
103495,VENT - PLAYPEN COVER,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
103549,STRUT - FORWARD BIMINI,BAR,ACC,0.0,48.0,79.99,31.99,39.99,BAR
